"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","49","11","12","1","15.751648","0","12"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","49","42","45","1","51.045036","0","45"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","49","72","78","1","120.631790","0","78"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","49","42","45","1","0.000000","0","45"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","49","10","11","1","14.876749","0","11"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","49","22","24","1","52.204643","0","24"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","49","8","8","1","14.460732","0","8"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","49","14","14","1","21.786314","0","14"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","49","8","8","1","16.807543","0","8"
"/Engine/VREditor/TransformGizmo/Xray.Xray","49","8","8","1","4.870668","0","8"
"/Engine/VREditor/TransformGizmo/Main.Main","49","8","8","1","17.467480","0","8"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","49","67","67","1","47.111904","0","67"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","49","16","16","1","35.276543","0","16"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","49","16","16","1","36.049603","0","16"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","49","22","22","1","34.663826","0","22"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","49","16","16","1","23.407623","0","16"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","49","17","17","1","20.534916","0","17"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","49","56","62","2","59.076015","0","62"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","49","11","12","1","15.493063","0","12"
"/ControlRig/M_Manip.M_Manip","49","11","12","1","15.628697","0","12"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","49","7","7","1","10.129824","0","7"
"/Game/CR/LQ/AMT_Materials/M_Master/M_MasterMetal.M_MasterMetal","49","11","11","1","8.274940","0","11"
"/Game/CR/LQ/AMT_Materials/M_Master/M_Master.M_Master","49","25","25","1","24.497267","0","25"
